Dirección,Ciudad y CP,Colecciones,Latitud,Longitud,Hub_Logístico,Superficie_Est
Àngel Guimerà 48,MANRESA 08241,Mujer+Niños,41.729315,1.8229931,Barcelona,Mediana (~400m²)
Do Xeneral Pardiñas 22-24,Santiago de Compostela 15701,Mujer+Niños,42.8814573,-8.5459201,Santiago,Mediana (~400m²)
Principe 57,Vigo 36202,Hombre,42.2375811,-8.7242552,Santiago,Estándar (~250-300m²)
Santiago 2,Valladolid 47001,Hombre,41.5793267,-4.9367508,Madrid,Estándar (~250-300m²)
Benito Corbal 27,Pontevedra 36001,Hombre,42.4298434,-8.6395404,Santiago,Estándar (~250-300m²)
Parque Comercial La Cañada - Cr Ojén S-N,MARBELLA 29603,Mujer+Niños,36.507411,-4.8914656,Málaga,Mediana (~400m²)
CC Nervion - Luis de Morales S-N L B 9,Sevilla 41005,Hombre,37.3765826,-5.9860005,Sevilla,Estándar (~250-300m²)
Parque Comercial La Cañada - Cr Ojén S-N Local 2/3,Marbella 29603,Hombre,36.507411,-4.8914656,Málaga,Estándar (~250-300m²)
Av Carlos III El Noble 11,Pamplona 31002,Hombre,42.8147938,-1.6408313,Bilbao,Estándar (~250-300m²)
Av Alexandre Rosselló 32,Palma 07002,Niños,39.5823224,2.6743315,Palma,Estándar (~250-300m²)
"CC Mataró Parc - Estrasburg 5, L 15-16-23-24",Mataró 08304,Hombre,41.5398348,2.4448926,Barcelona,Estándar (~250-300m²)
CC Arenas - Gran Via de les Corts Catalanes 373-385 planta 1 local WOMAN,Barcelona 08015,Mujer+Niños,41.3746225,2.1493793,Barcelona,Mediana (~400m²)
"CC Las Arenas - Gran Via de les Corts Catalanes 373 385, planta 1 local MAN.",Barcelona 08015,Hombre,41.3746225,2.1493793,Barcelona,Estándar (~250-300m²)
Ps Gràcia 22,Barcelona 08007,Niños,41.3752877,2.1495932,Barcelona,Estándar (~250-300m²)
CC Plenilunio - Aracne S-N (Polígono Industrial las Mercedes),Madrid 28022,Mujer+Hombre+Niños,40.4237276,-3.6899043,Madrid,Grande (~600-800m²)
Ps Gràcia 29-31,Barcelona 08007,Hombre,41.3752877,2.1495932,Barcelona,Estándar (~250-300m²)
Espai Gironès - Cm Carlins 10,Girona 17190,Mujer+Niños,42.2684085,2.9604437,Barcelona,Mediana (~400m²)
Corrida 28,Gijón 33206,Mujer+Hombre+Niños,43.5409173,-5.6637713,Bilbao,Grande (~600-800m²)
HANNOVER 34,MAHON 07703,Mujer+Niños,39.8886673,4.2635176,Palma,Mediana (~400m²)
Orense 13,Madrid 28020,Mujer+Hombre+Niños,40.4486999,-3.6956811,Madrid,Grande (~600-800m²)
"CALLE SERRANO, 60",Madrid 28001,Mujer+Hombre+Niños,40.4288082,-3.6868777,Madrid,Grande (~600-800m²)
CC L'Aljub - Jacarilla 7 loc B 51,Elche 03014,Hombre,38.2653307,-0.6988391,Valencia,Estándar (~250-300m²)
L'Aljub - Jacarilla 7 loc b 38 /a 19,Elche 03205,Mujer+Niños,38.2653307,-0.6988391,Valencia,Mediana (~400m²)
Principe 55,Vigo 36202,Mujer+Niños,42.2375811,-8.7242552,Santiago,Mediana (~400m²)
"parque principado - Autovia A - 66 Km 4, 5 Paredes",OVIEDO 33429,Mujer+Hombre+Niños,43.3618625,-5.8483581,Santiago,Grande (~600-800m²)
Toro 11-13,Salamanca 37002,Mujer+Niños,40.9673622,-5.6617496,Madrid,Mediana (~400m²)
La Vaguada - Av Monforte de Lemos 36 L A 4 A A 4 B,Madrid 28029,Mujer+Hombre,40.4237276,-3.6899043,Madrid,Mediana (~400m²)
San Antón 5 7,Logroño 26002,Mujer+Hombre+Niños,42.4620045,-2.4467136,Bilbao,Grande (~600-800m²)
CC Bonaire - Cr Nac Iii - Con Ctra Aldaia - T,Aldaya 46960,Mujer+Hombre+Niños,39.4647886,-0.4607604,Valencia,Grande (~600-800m²)
Cuatro Caminos - Ramón y Cajal 55,A Coruña 15006,Mujer+Niños,43.3709703,-8.3959425,Santiago,Mediana (~400m²)
Rb Catalunya 90,Barcelona 08008,Mujer+Hombre,41.3753594,2.1494898,Barcelona,Mediana (~400m²)
Benito Corbal 8,Pontevedra 36001,Mujer+Niños,42.4304655,-8.6425826,Santiago,Mediana (~400m²)
Av S'Agaró 10 12,Platja d'Aro 17250,Mujer+Hombre+Niños,41.8157921,3.0653918,Barcelona,Grande (~600-800m²)
Av Ordoño II 13,LEON 24001,Mujer+Hombre+Niños,42.5973771,-5.5734761,Bilbao,Grande (~600-800m²)
Colón 44,Valencia 46004,Mujer+Niños,39.4690408,-0.3715512,Valencia,Mediana (~400m²)
Av Santa Eularia des Riu 1,Ibiza 07800,Mujer,38.9106991,1.4344414,Palma,Estándar (~250-300m²)
De sa Creu 26,Ibiza 07800,Hombre,38.9417434,1.4153111,Palma,Estándar (~250-300m²)
Getaria 7 Ed. Guetaria,San Sebastián 20005,Hombre,43.3224219,-1.9838889,Bilbao,Estándar (~250-300m²)
Nou 9,MAHON 07701,Hombre,39.8942205,4.2737757,Palma,Estándar (~250-300m²)
Goya 79-81,Madrid 28001,Mujer+Hombre+Niños,40.4250281,-3.6744192,Madrid,Grande (~600-800m²)
Av Portal de l'Àngel 5,Barcelona 08002,Hombre,41.3751187,2.1496764,Barcelona,Estándar (~250-300m²)
CC Nevada - Hipócrates S-N,Armilla 18100,Mujer+Hombre+Niños,37.1431197,-3.6277259,Málaga,Grande (~600-800m²)
"CC La Marina - MANGO MAN,País Valencia 2 l. 43 44 (Polígono Industrial la Cala)",Finestrat 03509,Hombre,38.5679236,-0.2122319,Valencia,Estándar (~250-300m²)
Marqués de Larios 6,Málaga 29005,Hombre,36.7615185,-4.4748558,Málaga,Estándar (~250-300m²)
Jesús de Monasterio 19,Santander 39008,Mujer+Hombre+Niños,43.4614778,-3.8122357,Bilbao,Grande (~600-800m²)
"Av. del gran Capitan, 9 PB",Córdoba 14008,Hombre,37.8890855,-4.7827513,Sevilla,Estándar (~250-300m²)
"Finestrelles - Carrer Laureà Miró 38 ,Nou 4",Finestrat 08950,Mujer+Hombre+Niños,38.5679236,-0.2122319,Valencia,Grande (~600-800m²)
"LARIOS CENTRO - AV. DE LA AURORA 25, L-A1121",Málaga 29002,Hombre,36.7615185,-4.4748558,Málaga,Estándar (~250-300m²)
"C/ URIA, 1",Oviedo 33003,Hombre,43.3633212,-5.8505309,Santiago,Estándar (~250-300m²)
"Avda. PASEO DE ALMERIA, 27",Almería 04001,Mujer,38.103083,-3.6269868,Málaga,Estándar (~250-300m²)
Rodríguez arias 23,Bilbao 48011,Niños,43.2620826,-2.936518,Bilbao,Estándar (~250-300m²)
"Av.S`AGARO, 4",Girona 17250,Niños,41.8157921,3.0653918,Barcelona,Estándar (~250-300m²)
"PLAZA DE LUGO, 18",A Coruña 15004,Hombre,43.3665461,-8.4064892,Santiago,Estándar (~250-300m²)
"C.C. ESPACIO LEÓN - Av.DEL PAIS LEONES, 12 L:2.24",LEON 24010,Mujer+Hombre+Niños,42.5989995,-5.5682413,Bilbao,Grande (~600-800m²)
RB PRINCIPAL 76,Vilanova i la Geltrú 08800,Mujer,41.2241992,1.7256327,Barcelona,Estándar (~250-300m²)
"C/ TORO, 27",Salamanca 37002,Hombre,40.9665787,-5.6627028,Madrid,Estándar (~250-300m²)
Torrecárdenas - Av. Médico Francisco Pérez Company,Almería 04009,Mujer+Hombre+Niños,36.8610396,-2.4351759,Málaga,Grande (~600-800m²)
CC La Fira - Av Sant Jordi,Reus 43201,Mujer+Hombre+Niños,41.1555564,1.1076133,Barcelona,Grande (~600-800m²)
Carrer de la Canuda 2 4,Barcelona 08002,Mujer+Hombre+Niños,41.3848988,2.1730176,Barcelona,Grande (~600-800m²)
Arena Multiespacio - Santa Genoveva Torres 21,Valencia 46019,Mujer,39.4657654,-0.3817825,Valencia,Estándar (~250-300m²)
"Arena Multiespacio - Sta Genoveva Torres 21, loc.21",Valencia 46019,Hombre,39.4657654,-0.3817825,Valencia,Estándar (~250-300m²)
